time,gFx,gFy,gFz
2024-01-01 15:3:48.5150,0.036,-0.778,-0.612,0.991
2024-01-01 15:3:48.5240,0.037,-0.78,-0.613,0.993
2024-01-01 15:3:48.5340,0.04,-0.78,-0.614,0.993
2024-01-01 15:3:48.5440,0.04,-0.781,-0.616,0.995
2024-01-01 15:3:48.5540,0.041,-0.783,-0.617,0.998
2024-01-01 15:3:48.5710,0.044,-0.785,-0.617,0.999
2024-01-01 15:3:48.5740,0.043,-0.785,-0.619,1.001
2024-01-01 15:3:48.5970,0.047,-0.784,-0.621,1.001
2024-01-01 15:3:48.5980,0.047,-0.784,-0.621,1.001
2024-01-01 15:3:48.6040,0.05,-0.781,-0.62,0.998
2024-01-01 15:3:48.6180,0.053,-0.782,-0.624,1.002
2024-01-01 15:3:48.6240,0.053,-0.789,-0.628,1.01
2024-01-01 15:3:48.6340,0.05,-0.789,-0.623,1.007
2024-01-01 15:3:48.6440,0.048,-0.791,-0.619,1.006
2024-01-01 15:3:48.6540,0.047,-0.788,-0.622,1.005
2024-01-01 15:3:48.6690,0.044,-0.787,-0.624,1.005
2024-01-01 15:3:48.6730,0.044,-0.786,-0.626,1.006
2024-01-01 15:3:48.6960,0.047,-0.787,-0.627,1.007
2024-01-01 15:3:48.6970,0.047,-0.787,-0.627,1.007
2024-01-01 15:3:48.7030,0.049,-0.789,-0.623,1.007
2024-01-01 15:3:48.7140,0.048,-0.79,-0.623,1.007
2024-01-01 15:3:48.7230,0.053,-0.793,-0.628,1.013
2024-01-01 15:3:48.7330,0.052,-0.799,-0.629,1.018
2024-01-01 15:3:48.7430,0.055,-0.789,-0.62,1.005
2024-01-01 15:3:48.7530,0.07,-0.77,-0.61,0.985
2024-01-01 15:3:48.7690,0.09,-0.775,-0.611,0.991
2024-01-01 15:3:48.7730,0.1,-0.798,-0.643,1.03
2024-01-01 15:3:48.7960,0.059,-0.806,-0.659,1.043
2024-01-01 15:3:48.7960,0.059,-0.806,-0.659,1.043
2024-01-01 15:3:48.8030,0.043,-0.796,-0.643,1.024
2024-01-01 15:3:48.8120,0.038,-0.775,-0.647,1.01
2024-01-01 15:3:48.8230,0.046,-0.747,-0.651,0.992
2024-01-01 15:3:48.8330,0.073,-0.735,-0.664,0.993
2024-01-01 15:3:48.8430,0.097,-0.735,-0.692,1.014
2024-01-01 15:3:48.8530,0.091,-0.744,-0.693,1.021
2024-01-01 15:3:48.8620,0.07,-0.759,-0.659,1.008
2024-01-01 15:3:48.8830,0.068,-0.774,-0.635,1.003
2024-01-01 15:3:48.8840,0.068,-0.774,-0.635,1.003
2024-01-01 15:3:48.8920,0.08,-0.775,-0.636,1.006
2024-01-01 15:3:48.9020,0.084,-0.778,-0.636,1.008
2024-01-01 15:3:48.9120,0.077,-0.778,-0.636,1.008
2024-01-01 15:3:48.9220,0.064,-0.771,-0.644,1.007
2024-01-01 15:3:48.9320,0.057,-0.761,-0.647,1.0
2024-01-01 15:3:48.9420,0.057,-0.754,-0.642,0.992
2024-01-01 15:3:48.9520,0.062,-0.741,-0.632,0.976
2024-01-01 15:3:48.9820,0.096,-0.74,-0.632,0.978
2024-01-01 15:3:48.9830,0.096,-0.74,-0.632,0.978
2024-01-01 15:3:48.9830,0.096,-0.74,-0.632,0.978
2024-01-01 15:3:48.9910,0.087,-0.741,-0.646,0.987
2024-01-01 15:3:49.0010,0.066,-0.73,-0.661,0.987
2024-01-01 15:3:49.0120,0.058,-0.716,-0.666,0.98
2024-01-01 15:3:49.0220,0.064,-0.709,-0.666,0.975
2024-01-01 15:3:49.0310,0.079,-0.703,-0.651,0.961
2024-01-01 15:3:49.0420,0.098,-0.719,-0.65,0.974
2024-01-01 15:3:49.0520,0.092,-0.732,-0.677,1.001
2024-01-01 15:3:49.0820,0.064,-0.795,-0.624,1.013
