time,gFx,gFy,gFz
2024-04-13 18:49:40.6840,0.106,-0.798,-0.568,0.985
2024-04-13 18:49:40.7070,0.116,-0.825,-0.528,0.986
2024-04-13 18:49:40.7070,0.116,-0.825,-0.528,0.986
2024-04-13 18:49:40.7140,0.111,-0.837,-0.533,0.998
2024-04-13 18:49:40.7240,0.103,-0.85,-0.539,1.012
2024-04-13 18:49:40.7340,0.095,-0.847,-0.542,1.01
2024-04-13 18:49:40.7440,0.09,-0.836,-0.543,1.001
2024-04-13 18:49:40.7540,0.09,-0.831,-0.543,0.997
2024-04-13 18:49:40.7640,0.094,-0.825,-0.546,0.994
2024-04-13 18:49:40.7780,0.1,-0.821,-0.542,0.989
2024-04-13 18:49:40.7840,0.096,-0.827,-0.535,0.99
2024-04-13 18:49:40.8070,0.076,-0.851,-0.557,1.02
2024-04-13 18:49:40.8070,0.076,-0.851,-0.557,1.02
2024-04-13 18:49:40.8130,0.077,-0.863,-0.543,1.023
2024-04-13 18:49:40.8240,0.077,-0.869,-0.533,1.022
2024-04-13 18:49:40.8330,0.079,-0.869,-0.541,1.027
2024-04-13 18:49:40.8430,0.083,-0.864,-0.535,1.02
2024-04-13 18:49:40.8530,0.09,-0.857,-0.526,1.01
2024-04-13 18:49:40.8630,0.095,-0.848,-0.533,1.006
2024-04-13 18:49:40.8780,0.098,-0.842,-0.544,1.007
2024-04-13 18:49:40.8830,0.105,-0.841,-0.547,1.009
2024-04-13 18:49:40.9050,0.117,-0.842,-0.54,1.007
2024-04-13 18:49:40.9050,0.117,-0.842,-0.54,1.007
2024-04-13 18:49:40.9130,0.119,-0.842,-0.545,1.01
2024-04-13 18:49:40.9230,0.12,-0.836,-0.552,1.009
2024-04-13 18:49:40.9330,0.12,-0.823,-0.558,1.002
2024-04-13 18:49:40.9430,0.121,-0.811,-0.559,0.992
2024-04-13 18:49:40.9530,0.122,-0.8,-0.563,0.986
2024-04-13 18:49:40.9630,0.121,-0.786,-0.575,0.981
2024-04-13 18:49:40.9770,0.119,-0.78,-0.582,0.98
2024-04-13 18:49:40.9820,0.12,-0.781,-0.588,0.985
2024-04-13 18:49:41.0050,0.126,-0.796,-0.587,0.997
2024-04-13 18:49:41.0050,0.126,-0.796,-0.587,0.997
2024-04-13 18:49:41.0120,0.131,-0.806,-0.57,0.996
2024-04-13 18:49:41.0220,0.132,-0.816,-0.566,1.002
2024-04-13 18:49:41.0320,0.128,-0.823,-0.576,1.013
2024-04-13 18:49:41.0420,0.118,-0.828,-0.578,1.017
2024-04-13 18:49:41.0530,0.112,-0.837,-0.574,1.021
2024-04-13 18:49:41.0620,0.113,-0.849,-0.567,1.027
2024-04-13 18:49:41.0770,0.124,-0.86,-0.549,1.028
2024-04-13 18:49:41.0820,0.124,-0.867,-0.534,1.026
2024-04-13 18:49:41.1030,0.103,-0.849,-0.529,1.006
2024-04-13 18:49:41.1030,0.103,-0.849,-0.529,1.006
2024-04-13 18:49:41.1120,0.093,-0.833,-0.536,0.995
2024-04-13 18:49:41.1220,0.089,-0.821,-0.541,0.987
2024-04-13 18:49:41.1310,0.091,-0.814,-0.543,0.983
